nying phra|nucleolus
lte snying skyi mo|nuclear envelope (of a cell nucleus)
tshos gzugs dru gu|chromosome\nsee also {tshos phung}
tshos phung|chromosome (this is the usual word for it)\nsee also {tshos gzugs dru gu}
phra tshi|nucleoplasm
'byed gzugs|lysosome
gsher nang dra tshogs|endoplasmic reticulum
nus skyed phra rdul|mitochondria
ljang rdzas dbang phra|chloroplast
gsher wu|vacuole (in a cell)
re sbo phra gzugs|ribosome
'byin rngub|respiration
zas bcud len|to get nutrients
sgu lu mngar rdzas|glucose\nsee also {mngar rdzas}
mngar rdzas|glucose; sugar (e.g. the deoxyribose sugar of DNA)\nsee also {sgu lu mngar rdzas}
khar sbon 'tsho rlung nyis ldan|carbon dioxide
stangs 'dzin byed|to regulate
spri dkar|protein\nsee also {spri rdzas}
spri rdzas|protein\nsee also {spri dkar}
rgyu lam|channel
'dus rdul|molecule
li tshil|lipid
rim gnyis|bilayer (e.g. in biology)
lho sne|the South Pole
'tsho gnas|staying alive, survival
'tsho gnas byed|to keep living, to stay alive, to survive
'tsho shugs|power to live, ability to stay alive
skyed spel|reproduction
rgyud 'dzar|offspring
rigs rdzas|gene; DNA\n(usually “gene”)
yal 'gro|to disappear
tshe srog gi them skas|For whatever reason, most Tibetan biology teachers mistranslate this term as “living staircase”. It should really be rendered as “the hierarchy of life” or “the staircase of life”. It refers to the progression in size and complexity from atoms up to the biosphere.
rdul phran|atom
phung grub|tissue (of body)
dbang po|organ (of body)
dbang po ma lag|organ system / body system
srog chags|organism\nsee also {skye dngos}, {skye ldan}
skye dngos|organism\nsee also {srog chags}, {skye ldan}
skye ldan|organism\nsee also {srog chags}, {skye dngos}
tshogs 'dus|population (in biology)
spyi tshogs|community
snod bcud ma lag|ecosystem
skye khams go la|biosphere
gral rim|hierarchy
Di en e|DNA (in biology)
bul cha|base (of DNA, i.e. ATCG)
'ching sbyor|bond (e.g. of molecules)
ar en e|RNA (in biology)
'brog pa|Contrary to popular custom, this does not mean “nomad” and should not be translated as such.\nRather, this means “pastoralist”. As per the definition in {bod rgya tshig mdzod chen mo}, this word means {'brug khul du phyugs rigs gsos te 'tsho ba skyel mkhan/}, i.e. “someone who makes their living by raising ruminants in pastures”.\nThey may be, but are not necessarily, nomadic.
kha par slebs|to receive a phone call\ne.g. {kha par slebs song /} “I’m getting a phone call”\ncf. {kha par 'byor}
kha par 'byor|to receive a phone call\ncf. {kha par slebs}
shugs|force (e.g. in physics)
shugs tshad|strength
snyob tshad|range
drag shugs|the strong force (in physics)
glog khab len|electromagnetic\nMetrics: lok khaplen
glog khab len gyi shugs|electromagnetic force
zhan shugs|the weak force (in physics)
'then shugs|gravity
lte rdul|nucleus (of an atom)\nFor the nucleus of a cell, see {lte snying}.
nad rlabs|wave of an illness (e.g. the different waves of COVID)
de mtshungs bzhin|likewise
lo rgyus kyi thog nas|historically
khrims yig|an Act (i.e. a piece of legislation)
'gyur mtshams|a turning point
